상가업소번호,상호명,업종코드,업종명,시도명,시군구코드,시군구명,행정동코드,행정동명,지번본번지,지번부번지,지번주소,경도,위도,code,y,x,area_code
24587778,에이스노래연습장,N02A01,노래방,서울특별시,11680,강남구,1168067000,개포2동,158,1.0,서울특별시 강남구 개포동 158-1,127.06149792071301,37.48241955905471,N02A01,442554.70166845014,205439.2559016364,1000928.0
24467386,칸토음악학원,R05A02,피아노/바이올린/기타,서울특별시,11680,강남구,1168063000,대치4동,911,23.0,서울특별시 강남구 대치동 911-23,127.05610020351999,37.501632169969,R05A02,444686.7516707503,204960.57764217324,1000922.0
23068474,김혜정과학,R01A01,학원-입시,서울특별시,11680,강남구,1168060000,대치1동,507,2.0,서울특별시 강남구 대치동 507-2,127.06290321902,37.49392822730611,R01A01,443832.0944022159,205562.69572727158,1001053.0
20021531,황소등심,Q01A01,한식/백반/한정식,서울특별시,11680,강남구,1168053100,논현2동,115,25.0,서울특별시 강남구 논현동 115-25,127.03678416281299,37.5165058294876,Q01A01,446336.69486734597,203251.93988683255,1001115.0
24309150,케이엠오원학원,R01A01,학원-입시,서울특별시,11680,강남구,1168063000,대치4동,911,13.0,서울특별시 강남구 대치동 911-13,127.056647302227,37.50219519538321,R01A01,444749.2691982202,205008.91642971218,1000922.0
25142771,엑스티엠,N01A03,당구장,서울특별시,11680,강남구,1168065600,도곡2동,515,12.0,서울특별시 강남구 도곡동 515-12,127.043871269185,37.4841253987698,N01A03,442743.15490541374,203880.15767110232,1000901.0
23066846,헤어플레이스,F01A01,여성미용실,서울특별시,11680,강남구,1168053100,논현2동,218,18.0,서울특별시 강남구 논현동 218-18,127.034851810222,37.5119577570927,F01A01,445831.8515092628,203081.29533888467,1000936.0
24302806,유니코쵸이,D05A01,일반의류,서울특별시,11680,강남구,1168063000,대치4동,917,1.0,서울특별시 강남구 대치동 917-1,127.054739914633,37.500981542593,D05A01,444614.469613343,204840.33809637732,1000922.0
20028824,꼰떼,Q06A01,정통양식/경양식,서울특별시,11680,강남구,1168063000,대치4동,903,27.0,서울특별시 강남구 대치동 903-27,127.058138243554,37.5032523181207,Q06A01,444866.6765832901,205140.677257578,1000923.0
23034308,정민영헤어,F01A01,여성미용실,서울특별시,11680,강남구,1168075000,수서동,723,,서울특별시 강남구 수서동 723,127.10572126812299,37.4879616942937,F01A01,443173.2788300882,209349.95207747005,1001041.0
24909519,영미씨네,D16A01,화장품판매점,서울특별시,11680,강남구,1168063000,대치4동,889,56.0,서울특별시 강남구 대치동 889-56,127.05097010300501,37.50395183344229,D16A01,444943.94636255223,204506.81661501768,1001082.0
24489707,라임에스테틱,F01A03,비만/피부관리,서울특별시,11680,강남구,1168063000,대치4동,891,6.0,서울특별시 강남구 대치동 891-6,127.053990750252,37.5056790588235,F01A03,445135.7951097144,204773.79466168807,1001082.0
24755748,가인토탈샵,D05A01,일반의류,서울특별시,11680,강남구,1168063000,대치4동,896,30.0,서울특별시 강남구 대치동 896-30,127.052979315128,37.5033732615603,D05A01,444879.8304518508,204684.50889398291,1001082.0
22778865,강남노래방,N02A01,노래방,서울특별시,11680,강남구,1168052100,논현1동,183,2.0,서울특별시 강남구 논현동 183-2,127.02476619454,37.50642354239261,N02A01,445217.34195760405,202189.77415691304,1001095.0
25024648,브라운부동산,L01A01,부동산중개,서울특별시,11680,강남구,1168051000,신사동,582,10.0,서울특별시 강남구 신사동 582-10,127.02808375506599,37.5253369475264,L01A01,447316.5728402566,202482.47921177192,1000899.0
24853110,강남전자담배,S02A01,약국,서울특별시,11680,강남구,1168064000,역삼1동,839,14.0,서울특별시 강남구 역삼동 839-14,127.033940088727,37.490541233566496,S02A01,443454.8649465684,203001.54599317463,1001052.0
25185253,카다스,D16A01,화장품판매점,서울특별시,11680,강남구,1168061000,대치2동,988,,서울특별시 강남구 대치동 988,127.06061008231501,37.500046217405604,D16A01,444510.978703795,205359.47040637422,1001070.0
24598114,은정야채,D01A13,청과물소매,서울특별시,11680,강남구,1168065500,도곡1동,955,14.0,서울특별시 강남구 도곡동 955-14,127.036087680266,37.4862156797645,D01A13,442974.8561103642,203191.65571693532,1001037.0
20996996,카이스트물리,R01A01,학원-입시,서울특별시,11680,강남구,1168060000,대치1동,626,,서울특별시 강남구 대치동 626,127.05914706933399,37.4931595049826,R01A01,443746.5609289701,205230.58319030155,1001054.0
24368077,형지멀티플라자첨단점,D05A01,일반의류,서울특별시,11680,강남구,1168069000,개포4동,1238,3.0,서울특별시 강남구 개포동 1238-3,127.04561916641799,37.478273637391204,D05A01,442093.7607364906,204035.0636483565,1001019.0
24719139,투엘케이,F14A01,자동차정비/카센타,서울특별시,11680,강남구,1168058000,삼성1동,146,11.0,서울특별시 강남구 삼성동 146-11,127.055008882521,37.51284158808271,F14A01,445930.796487262,204863.35193491395,1000935.0
25541911,에펠크레페바나나쵸코킹,Q12A01,커피전문점/카페/다방,서울특별시,11680,강남구,1168063000,대치4동,939,7.0,서울특별시 강남구 대치동 939-7,127.05712428042601,37.498441596384,Q12A01,444332.6937840539,205051.345062855,1000920.0
20863836,비어씨티,Q09A01,호프/맥주,서울특별시,11680,강남구,1168067000,개포2동,167,2.0,서울특별시 강남구 개포동 167-2,127.060904379376,37.4828653727214,Q09A01,442604.1469453634,205386.72742943294,1000928.0
23193259,에띠끄,F01A03,비만/피부관리,서울특별시,11680,강남구,1168063000,대치4동,935,36.0,서울특별시 강남구 대치동 935-36,127.054384334893,37.49778895556921,F01A03,444260.1156074372,204809.10094999472,1001071.0
23062560,미에스테틱,F01A03,비만/피부관리,서울특별시,11680,강남구,1168054500,압구정동,619,6.0,서울특별시 강남구 신사동 619-6,127.03187514318199,37.5278549892809,F01A03,447596.15091955103,202817.52638420393,1001140.0
24171448,지엠대우역삼정비,F14A01,자동차정비/카센타,서울특별시,11680,강남구,1168064000,역삼1동,702,13.0,서울특별시 강남구 역삼동 702-13,127.045249111603,37.50379760517,F14A01,444926.570415372,204000.97025448122,1001087.0
25108899,비에이치에듀케이션,R04A01,학원-외국어/어학,서울특별시,11680,강남구,1168064000,역삼1동,646,15.0,서울특별시 강남구 역삼동 646-15,127.03517761074801,37.500706248524295,R04A01,444583.08922981145,203110.566608338,1001073.0
25448801,에이씨엠이,F01A01,여성미용실,서울특별시,11680,강남구,1168063000,대치4동,901,25.0,서울특별시 강남구 대치동 901-25,127.054457380596,37.503655418901296,F01A01,444911.2208802304,204815.1835038427,1001082.0
