상가업소번호,상호명,업종코드,업종명,시도명,시군구코드,시군구명,행정동코드,행정동명,지번본번지,지번부번지,지번주소,경도,위도,code,y,x,area_code
20749513,엔에스메디콜,F01A03,비만/피부관리,서울특별시,11680,강남구,1168056500,청담동,40,29.0,서울특별시 강남구 청담동 40-29,127.041081983284,37.518333896624796,503001,446539.74446561607,203631.80432884337,1000925.0
20800959,행복한과일야채,D01A13,청과물소매,서울특별시,11680,강남구,1168056500,청담동,132,3.0,서울특별시 강남구 청담동 132-3,127.056823332567,37.5223622132351,120014,446987.5610846919,205023.12981464114,1001473.0
20811475,KS할인마트,D03A02,수퍼마켓,서울특별시,11680,강남구,1168064000,역삼1동,826,30.0,서울특별시 강남구 역삼동 826-30,127.03033963769899,37.49613432667179,120001,444075.5163888927,202682.93426858934,1001066.0
20754264,베스트영어학원,R04A01,학원-외국어/어학,서울특별시,11680,강남구,1168056500,청담동,132,14.0,서울특별시 강남구 청담동 132-14,127.057113498414,37.5217788452659,202001,446922.83008518815,205048.81951771493,1001473.0
20746977,솔고바이오메디칼,Q12A01,커피전문점/카페/다방,서울특별시,11680,강남구,1168064000,역삼1동,689,4.0,서울특별시 강남구 역삼동 689-4,127.04118958098199,37.5063867943591,109001,445213.77227546414,203641.8968336416,1000894.0
20836444,olleh,D18A02,핸드폰소매,서울특별시,11680,강남구,1168060000,대치1동,604,,서울특별시 강남구 대치동 604,127.061026050567,37.4939223326479,601002,443831.33089626953,205396.6932322484,1001053.0
20836451,개념폴리아수학,R01A01,학원-입시,서울특별시,11680,강남구,1168060000,대치1동,649,,서울특별시 강남구 대치동 649,127.057694069641,37.4926973952395,201001,443695.19304733677,205102.12074417731,1001054.0
20832093,연기로우주정복,R07A06,학원-배우/탤런트,서울특별시,11680,강남구,1168052100,논현1동,141,13.0,서울특별시 강남구 논현동 141-13,127.023016604347,37.5104908559903,203011,445668.72242470545,202034.96870183965,1001471.0
20831570,해솔두피관리,F01A03,비만/피부관리,서울특별시,11680,강남구,1168064000,역삼1동,649,14.0,서울특별시 강남구 역삼동 649-14,127.030637877307,37.49930848944671,503001,444427.8157290043,202709.19292561527,1001085.0
20829636,류지혜논술,R01A01,학원-입시,서울특별시,11680,강남구,1168063000,대치4동,939,28.0,서울특별시 강남구 대치동 939-28,127.056759155106,37.4977989309459,201001,444261.34673209634,205019.1010320513,1000920.0
20839628,AMANO,D05A09,남성의류전문점,서울특별시,11680,강남구,1168054500,압구정동,662,19.0,서울특별시 강남구 신사동 662-19,127.03930822694001,37.5269785950821,701009,447499.13068405964,203474.596564574,1001141.0
20835877,할렐루야탁구장,N01A05,탁구장,서울특별시,11680,강남구,1168060000,대치1동,507,2.0,서울특별시 강남구 대치동 507-2,127.06290321902,37.49392822730611,303002,443832.0944022159,205562.6957272716,1001053.0
20836066,맥스전성식수학,R01A01,학원-입시,서울특별시,11680,강남구,1168063000,대치4동,936,25.0,서울특별시 강남구 대치동 936-25,127.053359959005,37.49741131788471,201001,444218.15088603366,204718.54113679976,1001071.0
20836130,1423네이브워터,D05A01,일반의류,서울특별시,11680,강남구,1168054500,압구정동,655,8.0,서울특별시 강남구 신사동 655-8,127.038553567619,37.5249540978767,701001,447274.4091253765,203407.98158613386,1001141.0
20840887,프로젝트RUE,D05A01,일반의류,서울특별시,11680,강남구,1168054500,압구정동,647,24.0,서울특별시 강남구 신사동 647-24,127.036790259884,37.5248316037295,701001,447260.75138110155,203252.11752785035,1001141.0
